text,true_label,pred_verbal,conf_verbal,correct_verbal,pred_logprob,conf_logprob,correct_logprob
"@user @user @user @user #GamerGate , now with weaponized Ninjas. we trained with Assasins Creed.",1,1,0.95,1,1,1.0,1
When all else fails... #relationships #needs via @user,0,1,0.95,0,1,1.0,0
you have no argument because you're insane|@RBRNetwork1 @user @user @user @user @user,0,1,0.95,0,1,0.9609375,0
"@user Even though @user got more ex-wives than @user majors, I'm happy for that washed-up mess... #Not!! #Blocked",1,1,0.95,1,1,1.0,1
Over on CBS at noon is #BALvsMIA. FOX has #SEAvsPHI after the #Saints. #NFL,0,0,0.95,1,0,0.9921875,1
@user @user @user effigies of jesus or allah..... when she herself hadnt kept any of d hindu gods #irony,1,1,0.95,1,1,1.0,1
"@user Unless rogue theatres start showing it, or it gets sold online?",0,1,0.95,0,1,0.984375,0
When you're sick and you feel bad for your cells cause they're fighting hard for you. #blessed #appreciative #sarcasm #kinda,1,1,0.95,1,1,1.0,1
@user #sarcasm is a service I offer.,0,1,0.95,0,1,1.0,0
@user @user @user YES! Vote for SATAN (@HillaryClinton) in 2016!!!!,1,1,0.95,1,1,1.0,1
So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,1,1,0.95,1,1,0.9921875,1
@user sounds like soooo much fun!,1,1,0.95,1,1,0.9921875,1
Those that are  #BritishRoyalty should Not presume #Titles or do any #PublicDuties,0,1,0.95,0,1,0.73046875,0
"But not a grocery store or pharmacy. Sensible.  ""@GRPress: Offices or apartments? owners of Monroe Avenue factory ponder options""",1,1,0.95,1,1,0.94140625,1
Yay I just love this time of the month...! #Sarcasm,1,1,0.95,1,1,1.0,1
"Thanks mom for all those lovely words, you just love to let me know how proud you are of me | #wordshurt",1,1,0.95,1,1,1.0,1
Oomf should be chowed in her mom's car,0,1,0.95,0,1,0.96875,0
"@user People who commit crimes, resist cops, or attack cops are endangering their own lives. No respect for law or other people.",0,1,0.95,0,0,0.6796875,1
I have to leave for school at 9am and I'm still in bed #fucktherain #wherearemyhunters #imgonnalooksocutetoday,1,1,0.95,1,1,0.9921875,1
The thing I love the most about coming into work early? Having everyone ask me why I'm here so early. Gets me every time.  #annoying,1,1,0.95,1,1,1.0,1
All hell is breaking loose... Ahhhh everybody freak out,1,1,0.95,1,1,1.0,1
@user Do you think Mary's parents believed the bubbemeinseh that she was still a virgin?,0,1,0.95,0,1,1.0,0
@user Grabe! Affordable na Affordable,1,1,0.95,1,1,1.0,1
Thanks bus. Thanks for telling me where I am. So helpful.,1,1,0.95,1,1,1.0,1
"Having a night in with Misha (she still needs twitter), chinese and movies all night #unilife #nightin",0,1,0.95,0,1,0.8828125,0
"Yo I got ten squad members in Khajo Chris said as he tears up...|""You ain't a gang member..."" Kevin responded |#thuglife",1,1,0.95,1,1,1.0,1
@user . #please email me captainpc@me.com or contact through DM myself or @user . #I #have #DM #Address #details #but #not#had#reply,0,1,0.95,0,1,0.73046875,0
"Oh materialism, how I've missed you.",1,1,0.95,1,1,1.0,1
It's not even 9 and I've already called the cops twice.. Damn I love my job 😒,1,1,0.95,1,1,1.0,1
Are sororities upset that their sisters are making their organizations look bad or that the world sees how some of them act?#SororitySisters,0,1,0.95,0,1,1.0,0
"so @user still waiting, my son is very happy enjoing his christmas gift ... i cant understand how u didn't prevent this ...",1,1,0.95,1,1,1.0,1
Girls who dip>>>,1,1,0.95,1,1,0.92578125,1
@user #NoodleScene anyone? He was so zen there. . Oh! wait! But #deadHenry and #bouncebackAnnie. Silly me! All makes sense now!,1,1,0.95,1,1,1.0,1
"Gotta go out with him and the third,forth,fifth...wheels.| #WinterThought",0,1,0.95,0,1,1.0,0
@user then later he snuggles up to The Royals with giddy glee #Irony,1,1,0.95,1,1,1.0,1
@user Minky Wale tail fritter for price of a bijoux flat in Port Talbot.,0,1,0.95,0,1,1.0,0
"@user oh brother, the bar for journalism is very high these days  @user why do you follow such retards?",1,1,0.95,1,1,0.984375,1
I'm a Victoria Secret model. It's such a secret not even Victoria knows.,1,1,0.95,1,1,1.0,1
Knock knock #sketchy #dignity #smile #funtimes #brotherskeeper #whosonfirst #holiday #shenanigans...,0,1,0.95,0,1,0.62109375,0
@user y r women considered inferior2men by society even wen in most of d families 2day men need women4decision making!  :D,1,1,0.95,1,1,1.0,1
"It's really #NOT #GOOD, too have the #REPUTATION for STEALING FROM GIRLS. @user & Mr. MASON,..expect a call,..(;",0,1,0.95,0,1,1.0,0
"Lucky I've finished all my coursework, revised super hard and feel super healthy. Two words...loving life.",1,1,0.95,1,1,0.9921875,1
Mens Football clearly know how to have a good time.....  #archiesday #anychanceofasocial,1,1,0.95,1,1,0.9921875,1
The #irony is anti state ppl will claim the little man (hacker) won when in reality the state won #sony,1,1,0.95,1,1,1.0,1
We buy into liberal individualism and see our individual fate as black people in no way linked to the collective fate-Bell Hooks #Ferguson,0,1,0.95,0,1,0.77734375,0
2 days off the next two weeks. 3 in the new yr. Love working over xmas.  #needthemoney,1,1,0.95,1,1,1.0,1
Come on #OrionLaunch - it's 1am in Australia. Us down-under #geeks need *some* sleep,0,1,0.95,0,1,0.9921875,0
I just love being wide awake at 4am,1,1,0.95,1,1,0.9921875,1
@user I'll just wait here :) :) :),0,1,0.95,0,1,0.6796875,0
@user u bragged all yr about having Peyton in 2 leagues only to get beat in the 1st round in both #irony 😂😂😂😂,1,1,0.95,1,1,1.0,1
why is there a hotdog on|http://t.co/2YQdPhfZKX???,0,1,0.95,0,1,0.96875,0
Nailed it  #yesimreadingthisbook #catsofinstagram #catstagram #ilovemycat #pawproject...,1,1,0.95,1,1,0.92578125,1
Jesus. I am watching too much #TheNewsroom... Look at me getting all #SonyHack sermonising...,1,1,0.95,1,1,1.0,1
"@user just check out the buttons, see what they do. And follow me back 😜",0,1,0.95,0,1,0.95703125,0
"Religion is unfounded, else, Allah would have saved the kids. . @user @user #PeshawarAttack #PakSchoolSiege",1,1,0.95,1,1,0.9921875,1
Watching Alison Jackson's portfolio of work #eurobest2014 seems she's cracked it. Celebrity + stunt = #viral #sarcasm,1,1,0.95,1,1,1.0,1
"Love how the adverts for the woman in black 2 say ""you won't sleep for weeks""...way to sell it to me 😳   #SheNeverLeft",1,1,0.95,1,1,1.0,1
Your cyber Monday sale got extended? No fucking way!  #stfu,1,1,0.95,1,1,0.984375,1
@user How do you score on someone?,0,1,0.95,0,1,0.984375,0
@user I swear we must be twins,0,1,0.95,0,1,0.94140625,0
Sweet United Nations video. Just in time for Christmas. #imagine #NoReligion,1,1,0.95,1,1,0.94140625,1
"Yeah, you're a grown up & at times feel very nostalgic towards your Bachpan. Iife's handiwork!!",0,1,0.95,0,1,0.984375,0
Time for my babies and I to take this medicine so we can get better😷,0,1,0.95,0,1,0.6796875,0
#Is #There #Too #Much to #Do or #Are #You #Not #Delegating #Enough ?,0,1,0.95,0,1,0.9921875,0
Remember that one episode Santana wanted to be a dancer but then forgot about it altogether. Good times. Good times. #Glee,1,1,0.95,1,1,0.984375,1
It's freezing out there & very hazy .... Just want to go home.,0,0,0.95,1,0,0.9921875,1
"@user @user Obamanomics: FS & Unemployment Insurance is ""economic stimulus"". FT to PT work frees us to follow our dreams.",0,1,0.95,0,1,1.0,0
Days when you just want everyone to leave you alone  #in #a #good #mood #noHunting,0,1,0.95,0,1,0.95703125,0
"#Its  #Over, Its Not Finished|Its Not Ending, Its Only The #Beginning When #God Is In It, #All #Things Are...",0,1,0.95,0,1,0.8515625,0
I've got a right thirst on... #NewsYearsEve,0,1,0.95,0,1,0.9921875,0
Wash hands with water? MOH is rubbing this on everyone's face? #irony,1,1,0.95,1,1,1.0,1
"@user you didn't make enough of a blót to Ullr (God of Hunting, Skiing, and I assume hockey).",0,1,0.95,0,1,1.0,0
Fighting over chargers is definitely how I wanted to start my day.😒 #not,1,1,0.95,1,1,1.0,1
Speed cameras in Whipton by village shops. & yes it Takes 5 police officers!! 🚔 #waste #of #money #does #not #take #five #individuals 😂🚨🚓,0,1,0.95,0,1,1.0,0
Everything You've Been Told About Copywriting is BS.,1,1,0.95,1,1,1.0,1
Yes it is much more logical to support criminals & attack police officers for protecting life & property. #HandsUpDontShoot,1,1,0.95,1,1,1.0,1
@user Yeah no I'm still laughing. It's not even that funny and I'm still laughing,0,1,0.95,0,1,0.9921875,0
I asked God to protect me from my enemies a long time ago .. short after I started losing friends  or #naah,1,1,0.95,1,1,1.0,1
"Here we go again, thanks to all that claim to cover WVHS hoop #NOT|Highlanders beat Parkersburg 76-75 on last second shot by @user",1,1,0.95,1,1,0.95703125,1
"@user yep, that's what they say.|",1,1,0.95,1,1,0.62109375,1
"As a girl,my reason not to put on makeup is I'm satisfied with my face,unlike you bitch!|| #winter",0,1,0.95,0,1,1.0,0
"@user it'll be ok, just get your TA to fix it!!",1,1,0.95,1,1,0.95703125,1
@user explains why Inter went all Calciopoli over Juventus...,0,1,0.95,0,1,1.0,0
Sweet jeebus! MT @user CryoSat & Jason-2 confirm very high to phenomenal seas generated by North Atlantic low,0,1,0.95,0,1,0.9609375,0
#New#color#new#beginning#new#goals#dont#giveup#never#life#should#be#easy @ skdar,0,0,0.95,1,0,0.92578125,1
History check anyone know what this is?,0,0,0.95,1,0,0.984375,1
@user my 7-year-old got it for me! I think Macy's,0,1,0.95,0,1,0.95703125,0
Yay for getting pink eye again!  #whyme,1,1,0.95,1,1,1.0,1
Who said that birthday girl can't celebrate the next day??? ☺️☺️ #celebrating #always #nighout #birthdaygirl...,0,1,0.95,0,1,0.984375,0
The world is such a smiley place. 😳,1,1,0.95,1,1,1.0,1
#Libby #Lane #appointment: #Women #bishops #debate  #over: The appointment of the Reverend Libby Lane as the...,0,1,0.95,0,1,0.92578125,0
: Historians collecting correct facts about wrong abuse. #Correct=#Wrong #FactAboutAbuse,1,1,0.95,1,1,0.9609375,1
Good thing I gotta work today 👍,1,1,0.95,1,1,0.9921875,1
Gotta love the sound of rain beating against the window on Christmas Day..  #whereswinter,1,1,0.95,1,1,0.90234375,1
Still awake sooo that's nice...,1,1,0.95,1,1,1.0,1
"#Mahathir, one of the godfathers of Asian values, Malaysians are ""stupid"", don't know how to run an airline #irony",1,1,0.95,1,1,1.0,1
That moment when the ad plays flawlessly but the video keeps buffering #irony #YouTube @user,1,1,0.95,1,1,1.0,1
It was a greaaaat night! ☺️😁,0,1,0.95,0,1,0.9921875,0
"I am also going to enjoy two beers, while sitting in my car. That is  illegal. What was done to me at USC Medical, and at Penn Mar, is.",0,1,0.95,0,1,1.0,0
#Sarcasm makes you mentally stronger. Which is very effective when dealing with emotional #stress and #fustration.|#funfact #WhatIfISay,0,1,0.95,0,1,1.0,0
It's funny to think that there are literally books out there for whatever you want to do in life (be a...,0,1,0.95,0,1,0.984375,0
@user @user I'm sure you're all inconsolable,1,1,0.95,1,1,0.9921875,1
": When some masseuses offer ""soothing"" massages the way reviewers offer stinging criticisms. #Masseuse=#Reviewer #Massage=#Criticism",1,1,0.95,1,1,1.0,1
@user @user Yes. I want to honor someone who died so I'll go steal a TV and Xbox and whatever else I feel entitled to,1,1,0.95,1,1,0.77734375,1
Even Soweto TV didn't bother to show these fvcken awards...useless to the bone..go figure,0,1,0.95,0,1,1.0,0
What else would you do on friday? |#TGIF  #8crap,1,1,0.95,1,1,0.9609375,1
I have #OTH playing in the back ground at work....ohhh #naughty :p but #FUN,0,1,0.95,0,1,1.0,0
lol drunk mom on Christmas is so fun...  #thisisadisaster ☺🔫🍸,1,1,0.95,1,1,1.0,1
Hey heyy!!!I....wanna be a rockstar #vscocam  hero #vsocam #hero #spiderman,0,1,0.95,0,1,0.96875,0
Yay time to clean....  so tired,1,1,0.95,1,1,1.0,1
"@user yeah I did, because it didn't show the convo and stuff, was gonna text it you but NO :)",0,1,0.95,0,1,0.9921875,0
Cramming 200+ psych pages into my brain even though we learnt that cramming isn't effective,1,1,0.95,1,1,1.0,1
@user Why not? The House Committee has been very informative thus far!!!  |#UniteBlue,1,1,0.95,1,1,1.0,1
#SocialMedia Where it's perfectly normal to talk to people in pictures !,1,1,0.95,1,1,1.0,1
"Since the tribunal was established 14 years ago, no complaint against the intelligence services has ever been upheld. #trustthesystem #not",1,1,0.95,1,1,1.0,1
Take me tooooo church #not,0,1,0.95,0,1,0.984375,0
Original Content is hard to come by. -Anonymous #writingtips  #quoteoftheday,1,1,0.95,1,1,0.95703125,1
Since when did train fare get so expensive?? Jesus! Might aswell of drove.... Shame I'm drinking,1,1,0.95,1,1,1.0,1
": When some archers fight with ""supple"" bows the way hoplites fight with stiff spears. #Archer=#Hoplite #Bow=#Spear",1,1,0.95,1,1,0.73046875,1
dats how u kno its winter,0,1,0.95,0,1,0.9921875,0
❓❓GOT MENTIONS ❓❓||#MGWV #AutoFollow #RETWEET #RTMUZZA #TEAMFOLLOWBACK #TFBJP #500aday #RT2GAIN ||⏩ @user ⏪| |WHOS WANTS TO BE NEXT?,0,0,0.95,1,1,0.5,0
@user @user world's greatest fans....,1,1,0.95,1,1,0.90234375,1
I just wrote a 13 page paper... I was awfully tired when I was writing it and now I can't sleep. #irony,1,1,0.95,1,1,1.0,1
So I heard a college dropout is offering a graduate from best College a jawdropping package!,1,1,0.95,1,1,1.0,1
@user One of those obvious when you see it but oh so clever ideas!! Glad you approved!,0,1,0.95,0,1,1.0,0
feeling well,0,0,0.95,1,0,1.0,1
Photo: Cheers! #vodka #mother #energy #drink #tipsy #on #one #drink #Cadbury  #alcoholic #Friday...,1,1,0.95,1,1,1.0,1
Take a look at those calves!!! 😎😎😂😂 ladies love the calves! #not #about #the #arms #its #about...,0,1,0.95,0,1,1.0,0
3rdeye Brand Has Designed The Accessory For Your Easy To Carry And Comfortable,0,1,0.95,0,1,0.5625,0
"Google scholarship application kept crashing in Chrome. Opened it in IE, finished application without incident. #irony",1,1,0.95,1,1,1.0,1
@user @user What does PTI do apart from whining?  #Youthiacrasy,1,1,0.95,1,1,0.9921875,1
@user @user How can you even keep up with all this great music?!,0,1,0.95,0,1,0.94140625,0
@user We study hard.. 📚🙊  #procrastinators 👯,1,1,0.95,1,1,1.0,1
"To be fair, DeBlasio only asked #BlackLivesMatter folks to stop protesting until the post-funerals. So police protesting him is cool.",1,1,0.95,1,1,1.0,1
My glasses are blinding me.,1,1,0.95,1,1,1.0,1
@user @user @user please reply to this gentleman on behalf of all of us here @user #jokles  #gotrealworktodo,0,0,0.95,1,0,0.5625,1
@user wtf thanks for saying bye,1,1,0.95,1,1,0.9921875,1
Kitty aaaaint happy #cat  #happy #today,0,1,0.95,0,1,0.8828125,0
so proud of my artwork 💖😇 #proud,1,1,0.95,1,1,0.984375,1
"@user I don't think, I know x",0,0,0.95,1,1,0.94140625,0
7:52am (too damn early) in South Carolina.. What a shitty state to  be proud of,0,1,0.95,0,1,0.9921875,0
@user @user Yes I remember a little. But then an entirely new lineup came in? Is that what happened?,0,1,0.95,0,1,0.8203125,0
"Well done @user you're doing a great job  ""@SkyNews: A&E Waiting Times Worst Since Records Began",1,1,0.95,1,1,0.94140625,1
"@user I've had three boys, breastfed them all for about a year each and never had to do it out when I was out!  necessary",0,1,0.95,0,1,0.62109375,0
Stop being the fan. And be the person blowing minds.,1,1,0.95,1,1,1.0,1
